,Household,Homestead,Cropland,Aquaculture land,Other
1163,1_799_222,42.0,240.0,3.0,0
1164,1_799_225,8.0,96.0,0,0
1165,1_799_227,7.0,96.0,0,0
1166,1_799_230,9.0,50.0,0,0
1167,1_799_233,10.0,40.0,0,0
1168,1_799_236,7.0,168.0,0,0
1169,1_799_238,6.0,192.0,20.0,0
1170,1_799_241,25.0,144.0,50.0,0
1171,1_799_244,12.0,240.0,0,0
1172,1_799_246,6.0,48.0,0,0
1173,1_799_248,27.0,144.0,0,0
1174,1_799_25,3.0,30.0,0,0
1175,1_799_252,3.0,50.0,0,0
1177,1_799_256,3.0,119.0,0,0
1180,1_799_264,8.0,25.0,0,0
1181,1_799_266,6.0,45.0,0,0
1182,1_799_270,10.0,24.0,0,0
1184,1_799_274,7.0,69.0,0,0
1185,1_799_277,8.0,318.0,0,0
1186,1_799_279,10.0,108.0,0,0
1187,1_799_28,7.0,100.0,0,0
1188,1_799_282,8.0,348.0,0,0
1191,1_799_290,8.0,48.0,0,0
1192,1_799_292,20.0,174.0,0,0
1193,1_799_295,15.0,111.0,0,0
1194,1_799_297,9.0,288.0,0,0
1195,1_799_30,9.0,75.0,0,0
1196,1_799_303,6.0,48.0,0,0
1197,1_799_305,5.0,63.0,0,0
1198,1_799_308,16.0,130.0,0,0
1199,1_799_310,16.0,190.0,0,0
1200,1_799_313,8.0,66.0,0,0
1201,1_799_316,7.0,96.0,0,0
1202,1_799_320,46.0,528.0,0,0
1203,1_799_321,1.0,79.0,0,0
1204,1_799_323,1.0,96.0,0,0
1206,1_799_329,4.0,48.0,0,0
1207,1_799_33,35.0,144.0,0,0
1208,1_799_331,1.0,81.0,48.0,0
1209,1_799_334,0,25.0,0,0
1211,1_799_339,215.0,72.0,0,0
1212,1_799_344,20.0,72.0,0,0
1213,1_799_346,6.0,48.0,0,0
1214,1_799_347,0,62.0,0,3.0
1216,1_799_35,9.0,24.0,0,0
1217,1_799_352,0,42.0,0,0
1219,1_799_357,3.0,250.0,0,0
1220,1_799_365,15.0,15.0,0,0
1222,1_799_368,10.0,26.0,0,0
1223,1_799_370,9.0,288.0,0,0
1224,1_799_373,9.0,192.0,0,0
1225,1_799_375,2.0,17.0,0,0
1227,1_799_38,5.0,120.0,0,0
